Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
1,como,as,5,6,,,
2,yo,I,5,1,1,3,1
3,su,his,4,1,2,1,1
4,que,that,4,1,6,,
5,él,he,4,1,1,1,1
6,era,was,4,2,2,,
7,para,for,4,6,,,
8,en,on,4,6,,,
9,son,are,4,2,2,,
10,con,with,4,6,,,
11,ellos,they,4,1,1,1,2
12,ser,be,4,2,2,,
13,en,at,4,6,,,
14,uno,one,4,4,4,,
15,tener,have,4,2,2,,
16,este,this,4,1,2,1,1
17,desde,from,4,6,,,
18,por,by,4,6,,,
19,caliente,hot,4,4,3,,
20,palabra,word,4,3,8,2,1
21,pero,but,4,6,,,
22,qué,what,4,7,5,,
23,algunos,some,4,3,10,1,2
24,es,is,4,2,2,,
25,lo,it,4,1,1,3,1
26,usted,you,4,1,1,3,1
27,o,or,4,6,,,
28,tenido,had,4,2,2,,
29,la,the,4,1,3,2,1
30,de,of,4,6,,,
31,a,to,4,6,,,
32,y,and,4,6,,,
33,un,a,4,1,3,1,1
34,en,in,4,6,,,
35,nos,we,4,1,1,3,2
36,lata,can,4,3,11,2,1
37,fuera,out,4,5,,,
38,otros,other,4,1,2,1,2
39,eran,were,4,2,2,,
40,cuál,which,4,7,5,,
41,hacer,do,4,2,2,,
42,su,their,4,1,2,3,2
43,tiempo,time,4,3,10,1,1
44,si,if,4,6,,,
45,lo hará,will,4,2,2,,
46,cómo,how,4,7,5,,
47,dicho,said,4,2,2,,
48,un,an,4,1,3,1,1
49,cada,each,4,4,4,,
50,decir,tell,4,2,2,,
51,hace,does,4,2,2,,
52,conjunto,set,4,3,11,1,1
53,tres,three,4,4,4,,
54,querer,want,4,2,2,,
55,aire,air,4,3,4,1,1
56,así,well,4,4,8,,
57,también,also,4,6,,,
58,jugar,play,4,2,2,,
59,pequeño,small,4,4,2,,
60,fin,end,4,3,10,1,1
61,poner,put,4,2,2,,
62,casa,home,4,3,6,2,1
63,leer,read,4,2,2,,
64,mano,hand,4,3,2,1,1
65,puerto,port,4,3,3,1,1
66,grande,large,4,4,2,,
67,deletrear,spell,4,2,1,,
68,añadir,to add,4,2,1,,
69,incluso,even,4,5,,,
70,tierra,land,4,3,3,2,1
71,aquí,here,4,4,5,,
72,debe,must,4,2,1,,
73,grande,big,4,4,2,,
74,alto,high,4,4,5,,
75,tal,such,4,4,4,,
76,seguir,follow,4,2,2,,
77,acto,act,4,3,9,1,1
78,por qué,why,4,7,5,,
79,preguntar,ask,4,2,1,,
80,hombres,men,4,1,1,1,2
81,cambio,change,4,3,11,1,1
82,se fue,went,4,2,2,,
83,luz,light,4,3,4,2,1
84,tipo,kind,4,3,11,1,1
85,fuera,off,4,5,,,
86,necesitará,need,4,2,1,,
87,casa,house,4,3,6,2,1
88,imagen,picture,4,3,5,2,1
89,tratar,try,4,2,1,,
90,nosotros,we,4,1,1,1,2
91,de nuevo,again,4,5,,,
92,animal,animal,4,3,4,1,1
93,punto,point,4,3,3,1,1
94,madre,mother,4,1,1,2,1
95,mundo,world,4,3,3,1,1
96,cerca,near,4,5,,,
97,construir,build,4,2,2,,
98,auto,self,4,1,1,3,1
99,tierra,earth,4,3,3,2,1
100,padre,father,4,1,1,1,1
101,cualquier,any,4,4,4,,
102,nuevo,new,4,4,7,,
103,trabajo,work,4,3,7,1,1
104,parte,part,4,3,11,2,1
105,tomar,take,4,2,1,,
106,conseguir,get,4,2,2,,
107,lugar,place,4,3,3,1,1
108,hecho,made,4,2,2,,
109,vivir,live,4,2,1,,
110,donde,where,4,7,5,,
111,después,after,4,6,,,
112,espalda,back,4,3,2,2,1
113,poco,little,4,4,2,,
114,sólo,only,4,5,,,
115,ronda,round,4,3,9,2,1
116,hombre,man,4,1,1,1,1
117,año,year,4,3,10,1,1
118,venido,came,4,2,2,,
119,mostrar,show,4,2,1,,
120,cada,every,4,4,4,,
121,buena,good,4,4,6,,
122,me,me,4,1,1,3,1
123,dar,give,4,2,2,,
124,nuestro,our,4,1,2,3,2
125,bajo,under,4,6,,,
126,nombre,name,4,3,2,1,1
127,muy,very,4,5,,,
128,a través de,through,4,6,,,
129,sólo,just,4,5,,,
130,forma,form,4,3,2,2,1
131,frase,sentence,4,3,8,2,1
132,gran,great,4,4,6,,
133,pensar,think,4,2,2,,
134,decir,say,4,2,2,,
135,ayudar,help,4,2,1,,
136,bajo,low,4,4,2,,
137,línea,line,4,3,2,2,1
138,ser distinto,differ,4,2,2,,
139,a su vez,in turn,4,5,,,
140,causa,cause,4,3,9,2,1
141,mucho,much,4,4,2,,
142,significará,mean,4,2,2,,
143,antes,before,4,4,7,,
144,movimiento,move,4,3,9,1,1
145,derecho,right,4,4,5,,
146,niño,boy,4,1,1,1,1
147,viejo,old,4,4,7,,
148,demasiado,too,4,5,,,
149,misma,same,4,4,8,,
150,ella,she,4,1,1,2,1
151,todo,all,4,4,2,,
152,hay,there is,4,2,1,,
153,cuando,when,4,7,5,,
154,hasta,up to/until,4,6,,,
155,usar,use,4,2,1,,
156,su,your,4,1,2,3,1
157,camino,way,4,3,3,1,1
158,acerca,about,4,6,,,
159,muchos,many,4,4,2,,
160,entonces,then,4,6,,,
161,ellos,them,4,1,1,1,2
162,escribir,write,4,2,1,,
163,haría,would,4,2,2,,
164,como,like,4,6,,,
165,así,so,4,5,,,
166,éstos,these,4,1,2,1,2
167,su,her,4,1,2,2,1
168,largo,long,4,4,2,,
169,hacer,make,4,2,2,,
170,cosa,thing,4,3,11,2,1
171,ver,see,4,2,2,,
172,él,him,4,1,2,1,1
173,dos,two,4,4,4,,
174,tiene,has,4,2,2,,
175,buscar,look,4,2,1,,
176,más,more,4,4,2,,
177,día,day,4,3,10,2,1
178,podía,could,4,2,2,,
179,ir,go,4,2,2,,
180,venir,come,4,2,2,,
181,hizo,he/she did,4,2,2,,
182,número,number,4,3,8,1,1
183,sonar,sound,4,2,2,,
184,no,no,4,7,6,,
185,más,most,4,4,4,,
186,personas,people,4,1,1,3,2
187,mi,my,4,1,2,3,1
188,sobre,over,4,6,,,
189,saber,know,4,2,2,,
190,agua,water,4,3,1,2,1
191,que,than,4,6,,,
192,llamada,call,4,3,9,2,1
193,primero,first,4,4,4,,
194,quién,who,4,7,5,,
195,poder,may,4,2,2,,
196,abajo,down,4,4,5,,
197,lado,side,4,3,3,1,1
198,estado,been,4,2,2,,
199,ahora,now,4,4,7,,
200,encontrar,find,4,2,2,,
201,cabeza,head,4,3,2,2,1
202,estar de pie,to stand,4,2,2,,
203,propio,own,4,4,5,,
204,página,page,4,3,8,2,1
205,deber,should,4,2,2,,
206,país,country,4,3,5,1,1
207,encontrado,found,4,2,2,,
208,respuesta,answer,4,3,8,2,1
209,escuela,school,4,3,8,2,1
210,crecer,grow,4,2,2,,
211,estudiar,study,4,2,1,,
212,todavía,still,4,5,,,
213,aprender,learn,4,2,1,,
214,planta,plant,4,3,4,2,1
215,cubierta,cover,4,3,6,2,1
216,alimentos,food,4,3,1,1,2
217,sol,sun,4,3,4,1,1
218,cuatro,four,4,4,4,,
219,entre,between,4,6,,,
220,estado,state,4,3,5,1,1
221,mantener,keep,4,2,2,,
222,ojo,eye,4,3,2,1,1
223,nunca,never,4,5,,,
224,último,last,4,4,4,,
225,dejar,let,4,2,1,,
226,pensado,thought,4,3,2,1,1
227,ciudad,city,4,3,5,2,1
228,árbol,tree,4,3,4,1,1
229,cruzar,cross,4,2,1,,
230,granja,farm,4,3,4,2,1
231,duro,hard,4,4,2,,
232,inicio,start,4,3,10,1,1
233,podría,I might,4,2,2,,
234,historia,story,4,3,10,2,1
235,sierra,saw,4,3,6,2,1
236,lejos,far,4,4,2,,
237,mar,sea,4,3,4,1,1
238,dibujar,draw,4,2,1,,
239,izquierda,left,4,4,5,,
240,tarde,late,4,4,7,,
241,correr,to run,4,2,1,,
242,no,don’t,4,6,,,
243,mientras,while,4,6,,,
244,prensa,press,4,3,7,2,1
245,cerrar,close,4,2,2,,
246,noche,night,4,3,10,2,1
247,real,real,4,4,6,,
248,vida,life,4,3,2,2,1
249,pocos,few,4,4,4,,
250,el norte,north,4,3,5,1,1
251,libro,book,4,3,8,1,1
252,llevar,carry/take/wear,4,2,1,,
253,tomó,took,4,2,2,,
254,ciencia,science,4,3,8,2,1
255,comer,eat,4,2,1,,
256,habitación,room,4,3,6,2,1
257,amigo,friend,4,1,1,1,1
258,empezar,begin,4,2,2,,
259,idea,idea,4,3,2,2,1
260,pez,fish,4,3,4,1,1
261,montaña,mountain,4,3,4,2,1
262,parar,to stop,4,2,1,,
263,una vez,once,4,4,4,,
264,base,base,4,3,3,2,1
265,escuchar,hear,4,2,1,,
266,caballo,horse,4,3,4,1,1
267,cortar,cut,4,2,1,,
268,seguro,sure,4,4,6,,
269,ver,watch,4,2,2,,
270,color,color,4,3,8,1,1
271,cara,face,4,3,2,2,1
272,madera,wood,4,3,4,2,1
273,principal,main,4,4,5,,
274,abierta,open,4,4,2,,
275,parecer,seem,4,2,2,,
276,juntos,together,4,4,6,,
277,próximo,next,4,4,5,,
278,blanco,white,4,4,2,,
279,niños,children,4,1,1,3,2
280,comenzar,begin,4,2,2,,
281,conseguido,got,4,2,2,,
282,caminar,walk,4,2,1,,
283,ejemplo,example,4,3,8,1,1
284,vista,sight,4,3,5,2,1
285,papel,paper,4,3,8,1,1
286,grupo,group,4,3,7,1,1
287,siempre,always,4,5,,,
288,música,music,4,3,8,2,1
289,esos,those,4,1,3,1,2
290,ambos,both,4,4,4,,
291,marca,mark,4,3,11,2,1
292,a menudo,often,4,5,,,
293,carta,letter,4,3,7,2,1
294,hasta,until,4,6,,,
295,milla,mile,4,3,5,2,1
296,río,river,4,3,4,1,1
297,coche,car,4,3,5,1,1
298,pies,feet,4,3,2,1,2
299,cuidado,care,4,3,9,1,1
300,segundo,second,4,4,4,,
301,suficiente,enough,4,4,2,,
302,llano,plain,4,4,2,,
303,chica,girl,4,1,1,2,1
304,habitual,usual,4,4,6,,
305,joven,young,4,4,7,,
306,listo,ready,4,4,7,,
307,por encima de,over,4,6,,,
308,nunca,ever,4,5,,,
309,rojo,red,4,4,2,,
310,lista,list,4,3,8,2,1
311,aunque,though,4,6,,,
312,sentir,feel,4,2,2,,
313,conversación,talk,4,3,7,2,1
314,pájaro,bird,4,3,4,1,1
315,pronto,soon,4,5,,,
316,cuerpo,body,4,3,2,1,1
317,perro,dog,4,3,4,1,1
318,familia,family,4,1,1,3,1
319,directa,direct,4,4,5,,
320,plantear,suggest,4,2,1,,
321,dejar,leave,4,2,1,,
322,canción,song,4,3,9,2,1
323,medir,measure,4,2,2,,
324,puerta,door,4,3,6,2,1
325,producto,product,4,3,7,1,1
326,negro,black,4,4,2,,
327,corto,short,4,4,2,,
328,numeral,numeral,4,4,4,,
329,clase,class,4,3,8,2,1
330,viento,wind,4,3,4,1,1
331,pregunta,question,4,3,8,2,1
332,suceder,happen,4,2,1,,
333,completo,complete,4,4,4,,
334,barco,ship,4,3,5,1,1
335,zona,area,4,3,3,2,1
336,medio,half,4,4,4,,
337,roca,rock,4,3,4,2,1
338,orden,order,4,3,9,2,1
339,fuego,fire,4,3,4,1,1
340,el sur,south,4,3,5,1,1
